Year,Month,Day,JEPX
2022,4,1,10
2022,4,2,10
2022,4,3,10
2022,4,4,10
2022,4,5,10
2022,4,6,9160.851307
2022,4,7,9066.186094
2022,4,8,10
2022,4,9,10
2022,4,10,10
2022,4,11,10
2022,4,12,10
2022,4,13,9023.135763
2022,4,14,8936.994385
2022,4,15,10
2022,4,16,10
2022,4,17,10
2022,4,18,10
2022,4,19,10
2022,4,20,9062.052576
2022,4,21,8861.951272
2022,4,22,10
2022,4,23,10
2022,4,24,10
2022,4,25,10
2022,4,26,10
2022,4,27,10
2022,4,28,10
2022,4,29,10
2022,4,30,10
2022,5,1,10
2022,5,2,10
2022,5,3,10
2022,5,4,10
2022,5,5,10
2022,5,6,10
2022,5,7,10
2022,5,8,10
2022,5,9,10
2022,5,10,10
2022,5,11,10
2022,5,12,10
2022,5,13,9014.582404
2022,5,14,9038.193088
2022,5,15,10
2022,5,16,10
2022,5,17,10
2022,5,18,9087.508965
2022,5,19,8957.674051
2022,5,20,10
2022,5,21,9041.242825
2022,5,22,10
2022,5,23,9064.153782
2022,5,24,10
2022,5,25,9056.686835
2022,5,26,8952.575637
2022,5,27,9063.525683
2022,5,28,9090.691438
2022,5,29,9100.490097
2022,5,30,9082.160343
2022,5,31,10
2022,6,1,9154.077357
2022,6,2,9069.282042
2022,6,3,9448.849992
2022,6,4,9499.601849
2022,6,5,9493.853246
2022,6,6,9502.022188
2022,6,7,9564.300253
2022,6,8,9198.806069
2022,6,9,9159.4806
2022,6,10,9483.326932
2022,6,11,9593.196796
2022,6,12,9610.776323
2022,6,13,9611.181125
2022,6,14,9611.946647
2022,6,15,9325.445754
2022,6,16,9163.342805
2022,6,17,9585.247357
2022,6,18,9771.426589
2022,6,19,9775.062721
2022,6,20,9778.904201
2022,6,21,9573.688677
2022,6,22,9344.236998
2022,6,23,9189.036951
2022,6,24,9674.131049
2022,6,25,9817.412801
2022,6,26,9829.777064
2022,6,27,9809.853945
2022,6,28,9686.375439
2022,6,29,9382.487202
2022,6,30,9292.869028
2022,7,1,9586.61189
2022,7,2,9588.743801
2022,7,3,9591.543118
2022,7,4,9600.135403
2022,7,5,9472.177234
2022,7,6,9357.19713
2022,7,7,9244.712403
2022,7,8,9671.769425
2022,7,9,9798.125808
2022,7,10,9787.091152
2022,7,11,9776.558254
2022,7,12,9674.749559
2022,7,13,9414.623699
2022,7,14,9326.874474
2022,7,15,9455.795201
2022,7,16,10387.31493
2022,7,17,10409.96858
2022,7,18,10416.29118
2022,7,19,10393.74946
2022,7,20,9460.750827
2022,7,21,9349.287301
2022,7,22,10752.61955
2022,7,23,11063.1125
2022,7,24,11191.6819
2022,7,25,11401.18252
2022,7,26,11427.51582
2022,7,27,9664.146806
2022,7,28,9481.013862
2022,7,29,12844.22432
2022,7,30,13427.11028
2022,7,31,13973.3216
2022,8,1,13166.37448
2022,8,2,13423.81043
2022,8,3,11476.87795
2022,8,4,11305.66124
2022,8,5,14109.68351
2022,8,6,14436.5714
2022,8,7,14631.64312
2022,8,8,14704.89198
2022,8,9,14882.20442
2022,8,10,11444.8977
2022,8,11,11336.3188
2022,8,12,11496.72111
2022,8,13,13752.40716
2022,8,14,13528.76217
2022,8,15,10
2022,8,16,12950.31883
2022,8,17,11526.05619
2022,8,18,11265.36324
2022,8,19,12405.95803
2022,8,20,12236.63343
2022,8,21,11963.60759
2022,8,22,11716.16439
2022,8,23,11410.70779
2022,8,24,11463.14768
2022,8,25,11263.92259
2022,8,26,10785.65586
2022,8,27,10729.45738
2022,8,28,10709.4285
2022,8,29,10607.57076
2022,8,30,10545.05703
2022,8,31,11263.99619
2022,9,1,10221.35865
2022,9,2,11633.44482
2022,9,3,11770.63465
2022,9,4,11755.15542
2022,9,5,11744.64603
2022,9,6,11790.60946
2022,9,7,10315.50863
2022,9,8,10161.79501
2022,9,9,11498.79941
2022,9,10,11576.61349
2022,9,11,11563.37075
2022,9,12,11058.3096
2022,9,13,11015.8248
2022,9,14,10232.39621
2022,9,15,10118.08319
2022,9,16,10089.10419
2022,9,17,10956.98788
2022,9,18,10916.67946
2022,9,19,10928.45731
2022,9,20,10928.64548
2022,9,21,10157.90581
2022,9,22,10040.16002
2022,9,23,10179.57232
2022,9,24,10812.61581
2022,9,25,10797.01223
2022,9,26,10813.17338
2022,9,27,10929.90228
2022,9,28,10181.27639
2022,9,29,9943.933809
2022,9,30,10768.0235
2022,10,1,10839.96514
2022,10,2,10817.55446
2022,10,3,10821.28291
2022,10,4,10805.35452
2022,10,5,9814.297641
2022,10,6,9699.129925
2022,10,7,10727.14687
2022,10,8,10793.15412
2022,10,9,10790.15722
2022,10,10,10783.05019
2022,10,11,10840.15385
2022,10,12,9850.328047
2022,10,13,9706.285991
2022,10,14,9831.183123
2022,10,15,10706.04426
2022,10,16,10727.99122
2022,10,17,10756.22227
2022,10,18,10765.87038
2022,10,19,9862.612452
2022,10,20,9664.734642
2022,10,21,10792.57256
2022,10,22,10777.51493
2022,10,23,10753.56783
2022,10,24,10835.25431
2022,10,25,10854.80904
2022,10,26,9854.063471
2022,10,27,9713.9597
2022,10,28,10883.22561
2022,10,29,10920.21901
2022,10,30,10919.91968
2022,10,31,10902.37463
2022,11,1,11302.86502
2022,11,2,10288.86546
2022,11,3,9984.540411
2022,11,4,10295.04727
2022,11,5,11385.3484
2022,11,6,11427.52315
2022,11,7,11490.26579
2022,11,8,11414.57859
2022,11,9,10324.59752
2022,11,10,10127.98387
2022,11,11,11527.05125
2022,11,12,11525.0558
2022,11,13,11529.35254
2022,11,14,11526.47663
2022,11,15,11513.16765
2022,11,16,10415.69427
2022,11,17,10143.14629
2022,11,18,11857.03696
2022,11,19,11750.10591
2022,11,20,11748.51807
2022,11,21,11749.58044
2022,11,22,11672.57062
2022,11,23,10591.75662
2022,11,24,10362.19137
2022,11,25,11877.18719
2022,11,26,12028.43327
2022,11,27,12010.91491
2022,11,28,12015.91333
2022,11,29,11824.03268
2022,11,30,10590.19872
2022,12,1,11818.46332
2022,12,2,13526.78642
2022,12,3,13650.10196
2022,12,4,13652.95079
2022,12,5,13650.46021
2022,12,6,13419.56313
2022,12,7,12164.70766
2022,12,8,12011.68685
2022,12,9,13670.36225
2022,12,10,13820.57826
2022,12,11,13842.82559
2022,12,12,13789.3453
2022,12,13,13703.92096
2022,12,14,12261.87701
2022,12,15,12110.67517
2022,12,16,13907.47045
2022,12,17,14179.31199
2022,12,18,14198.10633
2022,12,19,14173.9522
2022,12,20,13997.49671
2022,12,21,12340.15798
2022,12,22,12202.46224
2022,12,23,13530.89033
2022,12,24,13951.94951
2022,12,25,13948.7337
2022,12,26,13931.34519
2022,12,27,13985.10024
2022,12,28,12258.91061
2022,12,29,12169.23994
2022,12,30,12755.37604
2022,12,31,12745.19164
2023,1,1,11107.86807
2023,1,2,10602.00098
2023,1,3,10498.50812
2023,1,4,11493.39022
2023,1,5,10905.64743
2023,1,6,15108.6085
2023,1,7,14954.66353
2023,1,8,14989.17492
2023,1,9,14975.45524
2023,1,10,14811.27765
2023,1,11,11654.87046
2023,1,12,11381.44045
2023,1,13,11692.2422
2023,1,14,15069.7726
2023,1,15,15148.42321
2023,1,16,15188.53825
2023,1,17,15197.02107
2023,1,18,11634.26796
2023,1,19,11391.80231
2023,1,20,15092.94066
2023,1,21,15212.13734
2023,1,22,15206.82531
2023,1,23,15180.68947
2023,1,24,15076.00988
2023,1,25,11585.45027
2023,1,26,11430.79393
2023,1,27,14907.20596
2023,1,28,14999.6293
2023,1,29,14987.445
2023,1,30,14966.48429
2023,1,31,14839.4154
2023,2,1,11480.09391
2023,2,2,11320.50496
2023,2,3,14585.55271
2023,2,4,14724.83458
2023,2,5,14695.15378
2023,2,6,14717.24456
2023,2,7,14727.1461
2023,2,8,11384.08292
2023,2,9,11243.63944
2023,2,10,14535.13238
2023,2,11,11459.4204
2023,2,12,14511.07205
2023,2,13,14529.15527
2023,2,14,14736.12143
2023,2,15,11414.01156
2023,2,16,11201.39458
2023,2,17,11592.58658
2023,2,18,11679.84812
2023,2,19,11682.34214
2023,2,20,11689.2267
2023,2,21,11749.30455
2023,2,22,11300.20258
2023,2,23,11135.42552
2023,2,24,11190.16488
2023,2,25,11354.70875
2023,2,26,11455.64982
2023,2,27,11484.45554
2023,2,28,11581.5242
2023,3,1,10072.61978
2023,3,2,9996.052416
2023,3,3,10773.77494
2023,3,4,10781.24224
2023,3,5,10798.19143
2023,3,6,10783.27065
2023,3,7,10779.75776
2023,3,8,9859.65296
2023,3,9,9740.953739
2023,3,10,10517.17804
2023,3,11,10555.96772
2023,3,12,10563.51087
2023,3,13,10543.97003
2023,3,14,10675.78291
2023,3,15,9839.661252
2023,3,16,9627.227028
2023,3,17,10361.12071
2023,3,18,10436.89337
2023,3,19,10439.6259
2023,3,20,9662.675141
2023,3,21,10508.02935
2023,3,22,9711.570864
2023,3,23,9527.407747
2023,3,24,10234.41885
2023,3,25,10313.82602
2023,3,26,10334.4794
2023,3,27,10303.90098
2023,3,28,10387.86478
2023,3,29,9600.160464
2023,3,30,9518.094378
2023,3,31,10191.1183
2023,4,1,9722.061454
2023,4,2,9638.59482
2023,4,3,9635.579302
2023,4,4,9600.030777
2023,4,5,10
2023,4,6,10
2023,4,7,10
2023,4,8,9549.736332
2023,4,9,9585.375305
2023,4,10,9563.974419
2023,4,11,9479.60022
2023,4,12,10
2023,4,13,10
2023,4,14,10
2023,4,15,9490.407501
2023,4,16,9460.276905
2023,4,17,9449.643191
2023,4,18,10
2023,4,19,10
2023,4,20,10
2023,4,21,10
2023,4,22,10
2023,4,23,10
2023,4,24,9341.270183
2023,4,25,9345.820217
2023,4,26,10
2023,4,27,10
2023,4,28,10
2023,4,29,10
2023,4,30,9087.75572
2023,5,1,8962.470515
2023,5,2,9022.040236
2023,5,3,10
2023,5,4,10
2023,5,5,10
2023,5,6,10
2023,5,7,10
2023,5,8,9328.622041
2023,5,9,10
2023,5,10,10
2023,5,11,10
2023,5,12,10
2023,5,13,9428.380516
2023,5,14,9349.268462
2023,5,15,9332.802006
2023,5,16,9329.485699
2023,5,17,10
2023,5,18,10
2023,5,19,10
2023,5,20,10
2023,5,21,10
2023,5,22,10
2023,5,23,10
2023,5,24,10
2023,5,25,10
2023,5,26,10
2023,5,27,10
2023,5,28,10
2023,5,29,10
2023,5,30,10
2023,5,31,10
2023,6,1,8971.485597
2023,6,2,9869.312143
2023,6,3,9880.656537
2023,6,4,9892.971021
2023,6,5,9909.608938
2023,6,6,9926.960342
2023,6,7,9130.685261
2023,6,8,9044.697892
2023,6,9,9926.305282
2023,6,10,10023.51678
2023,6,11,10019.14478
2023,6,12,10021.11076
2023,6,13,10006.07965
2023,6,14,9203.270524
2023,6,15,9081.818617
2023,6,16,9922.591271
2023,6,17,10124.13273
2023,6,18,10126.36343
2023,6,19,10127.55062
2023,6,20,9998.329582
2023,6,21,9264.790484
2023,6,22,9130.884733
2023,6,23,10027.30469
2023,6,24,10172.32259
2023,6,25,10166.26172
2023,6,26,10174.52179
2023,6,27,10077.75627
2023,6,28,9250.535878
2023,6,29,9256.945532
2023,6,30,10072.08456
2023,7,1,10089.10374
2023,7,2,10093.62443
2023,7,3,10086.53582
2023,7,4,10017.35673
2023,7,5,9770.33618
2023,7,6,9739.701558
2023,7,7,10045.04441
2023,7,8,10256.1475
2023,7,9,10241.74743
2023,7,10,10241.21351
2023,7,11,10159.28879
2023,7,12,9905.479261
2023,7,13,9811.473605
2023,7,14,10174.11236
2023,7,15,10268.40589
2023,7,16,10897.36396
2023,7,17,10914.22917
2023,7,18,10875.11147
2023,7,19,10033.16524
2023,7,20,9891.16896
2023,7,21,10007.38785
2023,7,22,11150.15823
2023,7,23,11414.2723
2023,7,24,11566.89403
2023,7,25,11641.17331
2023,7,26,10154.07015
2023,7,27,9958.16983
2023,7,28,12821.27953
2023,7,29,13487.70722
2023,7,30,14090.67131
2023,7,31,14687.60623
2023,8,1,13477.51804
2023,8,2,12131.56517
2023,8,3,11961.37512
2023,8,4,14630.83837
2023,8,5,14794.64516
2023,8,6,15022.66329
2023,8,7,15236.80056
2023,8,8,15397.34411
2023,8,9,12180.0725
2023,8,10,12060.71584
2023,8,11,12200.7291
2023,8,12,14741.52247
2023,8,13,14382.25712
2023,8,14,14092.89122
2023,8,15,13817.78066
2023,8,16,12012.11696
2023,8,17,11970.38498
2023,8,18,13249.14969
2023,8,19,13011.815
2023,8,20,12709.66412
2023,8,21,12457.97169
2023,8,22,12067.64325
2023,8,23,12142.10141
2023,8,24,11963.30448
2023,8,25,11493.55503
2023,8,26,11292.32601
2023,8,27,11154.95674
2023,8,28,11085.86291
2023,8,29,11031.44893
2023,8,30,11886.08663
2023,8,31,11762.89343
2023,9,1,11881.73958
2023,9,2,11695.30123
2023,9,3,11692.94023
2023,9,4,11726.78908
2023,9,5,11776.21026
2023,9,6,10549.18331
2023,9,7,10350.56677
2023,9,8,11609.28442
2023,9,9,11570.04839
2023,9,10,11578.93067
2023,9,11,11561.24894
2023,9,12,11033.86681
2023,9,13,10425.89452
2023,9,14,10206.94223
2023,9,15,10518.42149
2023,9,16,10947.30844
2023,9,17,10958.57421
2023,9,18,10957.58552
2023,9,19,10945.11151
2023,9,20,10348.65171
2023,9,21,10153.26971
2023,9,22,11028.97969
2023,9,23,10403.35274
2023,9,24,10922.4858
2023,9,25,10874.37329
2023,9,26,10934.04421
2023,9,27,10396.66268
2023,9,28,10127.41172
2023,9,29,10823.32707
2023,9,30,10801.49378
2023,10,1,9904.231097
2023,10,2,9857.47631
2023,10,3,9840.638013
2023,10,4,10
2023,10,5,10
2023,10,6,9866.682909
2023,10,7,9874.648678
2023,10,8,9846.079309
2023,10,9,9853.129325
2023,10,10,9876.986891
2023,10,11,8893.54278
2023,10,12,10
2023,10,13,8929.652446
2023,10,14,9767.179872
2023,10,15,9866.105516
2023,10,16,9845.381239
2023,10,17,9800.765512
2023,10,18,8880.771953
2023,10,19,8649.654922
2023,10,20,9824.933373
2023,10,21,9902.436141
2023,10,22,9923.725185
2023,10,23,9925.348356
2023,10,24,9902.537126
2023,10,25,8945.978589
2023,10,26,8698.987049
2023,10,27,9920.001927
2023,10,28,9962.526208
2023,10,29,9995.986975
2023,10,30,10009.204
2023,10,31,9898.532602
2023,11,1,9813.641047
2023,11,2,9519.145886
2023,11,3,9852.257533
2023,11,4,10804.00915
2023,11,5,10848.33249
2023,11,6,10880.62126
2023,11,7,10782.80483
2023,11,8,9844.439325
2023,11,9,9702.340793
2023,11,10,10838.96944
2023,11,11,10946.66201
2023,11,12,10945.7439
2023,11,13,10973.9556
2023,11,14,10917.72474
2023,11,15,9934.853937
2023,11,16,9751.415196
2023,11,17,10938.96779
2023,11,18,11050.36866
2023,11,19,11045.43666
2023,11,20,11045.55234
2023,11,21,11020.19204
2023,11,22,10125.23766
2023,11,23,9865.491246
2023,11,24,10168.08621
2023,11,25,11282.97272
2023,11,26,11408.22698
2023,11,27,11394.27883
2023,11,28,11219.8735
2023,11,29,10144.07523
2023,11,30,10034.32301
2023,12,1,12774.01866
2023,12,2,13100.07027
2023,12,3,13026.99965
2023,12,4,13038.65047
2023,12,5,12822.82809
2023,12,6,11866.41914
2023,12,7,11720.49244
2023,12,8,13045.68038
2023,12,9,13213.65061
2023,12,10,13213.00389
2023,12,11,13219.18038
2023,12,12,13161.86657
2023,12,13,11915.85109
2023,12,14,11789.82128
2023,12,15,13132.05773
2023,12,16,13557.32187
2023,12,17,13581.88939
2023,12,18,13551.84887
2023,12,19,13453.23608
2023,12,20,12036.40893
2023,12,21,11910.43838
2023,12,22,13260.62851
2023,12,23,13281.12683
2023,12,24,13280.70256
2023,12,25,13273.68161
2023,12,26,13379.52171
2023,12,27,11947.83436
2023,12,28,11822.88257
2023,12,29,14714.66013
2023,12,30,12273.88657
2023,12,31,12293.34099
2024,1,1,11124.88267
2024,1,2,10464.41814
2024,1,3,11094.36799
2024,1,4,11096.79545
2024,1,5,14119.91344
2024,1,6,14967.16818
2024,1,7,14916.64778
2024,1,8,14941.12
2024,1,9,14798.95474
2024,1,10,11664.73231
2024,1,11,11528.22318
2024,1,12,11634.18742
2024,1,13,14959.20321
2024,1,14,15183.08633
2024,1,15,15189.04593
2024,1,16,15227.72133
2024,1,17,11647.78119
2024,1,18,11489.17638
2024,1,19,15062.68397
2024,1,20,15184.239
2024,1,21,15196.94648
2024,1,22,15170.41647
2024,1,23,15121.91033
2024,1,24,11714.90385
2024,1,25,11581.39734
2024,1,26,14923.15052
2024,1,27,15046.28119
2024,1,28,14991.71678
2024,1,29,14985.38909
2024,1,30,14903.57181
2024,1,31,11669.96747
2024,2,1,10927.30375
2024,2,2,14021.66713
2024,2,3,14007.94758
2024,2,4,14011.94262
2024,2,5,14013.27782
2024,2,6,14030.08455
2024,2,7,10993.27
2024,2,8,10842.25896
2024,2,9,13888.73026
2024,2,10,13950.8435
2024,2,11,10954.31938
2024,2,12,13987.45234
2024,2,13,14085.6691
2024,2,14,11023.42563
2024,2,15,10783.57188
2024,2,16,11376.20458
2024,2,17,11126.67
2024,2,18,11092.38875
2024,2,19,11089.50458
2024,2,20,11266.12125
2024,2,21,10913.11854
2024,2,22,10659.69625
2024,2,23,10975.82208
2024,2,24,10893.21833
2024,2,25,10989.24583
2024,2,26,10979.92938
2024,2,27,11100.33354
2024,2,28,10605.10563
2024,3,1,9998.730833
2024,3,2,10339.03333
2024,3,3,10229.73969
2024,3,4,10263.45698
2024,3,5,10234.54208
2024,3,6,10229.6675
2024,3,7,9864.978229
2024,3,8,9605.879063
2024,3,9,10104.99052
2024,3,10,9967.2525
2024,3,11,9997.152083
2024,3,12,9946.256042
2024,3,13,10072.01344
2024,3,14,9722.036875
2024,3,15,9523.484479
2024,3,16,9977.783333
2024,3,17,9890.794896
2024,3,18,9910.422188
2024,3,19,9902.583646
2024,3,20,9605.0725
2024,3,21,9643.716667
2024,3,22,9426.091667
2024,3,23,9862.5
2024,3,24,9779.897396
2024,3,25,9774.244688
2024,3,26,9762.707292
2024,3,27,9859.487604
2024,3,28,9495.916146
2024,3,29,9409.166771
2024,3,30,9754.235104
2024,3,31,9739.675104
2024,4,1,
2024,4,2,
2024,4,3,
2024,4,4,
2024,4,5,
2024,4,6,
2024,4,7,
2024,4,8,
2024,4,9,
2024,4,10,
2024,4,11,
2024,4,12,
2024,4,13,
2024,4,14,
2024,4,15,
2024,4,16,
2024,4,17,
2024,4,18,
2024,4,19,
2024,4,20,
2024,4,21,
2024,4,22,
2024,4,23,
2024,4,24,
2024,4,25,
2024,4,26,
2024,4,27,
2024,4,28,
2024,4,29,
2024,4,30,
2024,5,1,
2024,5,2,
2024,5,3,
2024,5,4,
2024,5,5,
2024,5,6,
2024,5,7,
2024,5,8,
2024,5,9,
2024,5,10,
2024,5,11,
2024,5,12,
2024,5,13,
2024,5,14,
2024,5,15,
2024,5,16,
2024,5,17,
2024,5,18,
2024,5,19,
2024,5,20,
2024,5,21,
2024,5,22,
2024,5,23,
2024,5,24,
2024,5,25,
2024,5,26,
2024,5,27,
2024,5,28,
2024,5,29,
2024,5,30,
2024,5,31,
2024,6,1,
2024,6,2,
2024,6,3,
2024,6,4,
2024,6,5,
2024,6,6,
2024,6,7,
2024,6,8,
2024,6,9,
2024,6,10,
2024,6,11,
2024,6,12,
2024,6,13,
2024,6,14,
2024,6,15,
2024,6,16,
2024,6,17,
2024,6,18,
2024,6,19,
2024,6,20,
2024,6,21,
2024,6,22,
2024,6,23,
2024,6,24,
2024,6,25,
2024,6,26,
2024,6,27,
2024,6,28,
2024,6,29,
2024,6,30,
2024,7,1,
2024,7,2,
2024,7,3,
2024,7,4,
2024,7,5,
2024,7,6,
2024,7,7,
2024,7,8,
2024,7,9,
2024,7,10,
2024,7,11,
2024,7,12,
2024,7,13,
2024,7,14,
2024,7,15,
2024,7,16,
2024,7,17,
2024,7,18,
2024,7,19,
2024,7,20,
2024,7,21,
2024,7,22,
2024,7,23,
2024,7,24,
2024,7,25,
2024,7,26,
2024,7,27,
2024,7,28,
2024,7,29,
2024,7,30,
2024,7,31,
2024,8,1,
2024,8,2,
2024,8,3,
2024,8,4,
2024,8,5,
2024,8,6,
2024,8,7,
2024,8,8,
2024,8,9,
2024,8,10,
2024,8,11,
2024,8,12,
2024,8,13,
2024,8,14,
2024,8,15,
2024,8,16,
2024,8,17,
2024,8,18,
2024,8,19,
2024,8,20,
2024,8,21,
2024,8,22,
2024,8,23,
2024,8,24,
2024,8,25,
2024,8,26,
2024,8,27,
2024,8,28,
2024,8,29,
2024,8,30,
2024,8,31,
2024,9,1,
2024,9,2,
2024,9,3,
2024,9,4,
2024,9,5,
2024,9,6,
2024,9,7,
2024,9,8,
2024,9,9,
2024,9,10,
2024,9,11,
2024,9,12,
2024,9,13,
2024,9,14,
2024,9,15,
2024,9,16,
2024,9,17,
2024,9,18,
2024,9,19,
2024,9,20,
2024,9,21,
2024,9,22,
2024,9,23,
2024,9,24,
2024,9,25,
2024,9,26,
2024,9,27,
2024,9,28,
2024,9,29,
2024,9,30,
2024,10,1,
2024,10,2,
2024,10,3,
2024,10,4,
2024,10,5,
2024,10,6,
2024,10,7,
2024,10,8,
2024,10,9,
2024,10,10,
2024,10,11,
2024,10,12,
2024,10,13,
2024,10,14,
2024,10,15,
2024,10,16,
2024,10,17,
2024,10,18,
2024,10,19,
2024,10,20,
2024,10,21,
2024,10,22,
2024,10,23,
2024,10,24,
2024,10,25,
2024,10,26,
2024,10,27,
2024,10,28,
2024,10,29,
2024,10,30,
2024,10,31,
2024,11,1,
2024,11,2,
2024,11,3,
2024,11,4,
2024,11,5,
2024,11,6,
2024,11,7,
2024,11,8,
2024,11,9,
2024,11,10,
2024,11,11,
2024,11,12,
2024,11,13,
2024,11,14,
2024,11,15,
2024,11,16,
2024,11,17,
2024,11,18,
2024,11,19,
2024,11,20,
2024,11,21,
2024,11,22,
2024,11,23,
2024,11,24,
2024,11,25,
2024,11,26,
2024,11,27,
2024,11,28,
2024,11,29,
2024,11,30,
2024,12,1,
2024,12,2,
2024,12,3,
2024,12,4,
2024,12,5,
2024,12,6,
2024,12,7,
2024,12,8,
2024,12,9,
2024,12,10,
2024,12,11,
2024,12,12,
2024,12,13,
2024,12,14,
2024,12,15,
2024,12,16,
2024,12,17,
2024,12,18,
2024,12,19,
2024,12,20,
2024,12,21,
2024,12,22,
2024,12,23,
2024,12,24,
2024,12,25,
2024,12,26,
2024,12,27,
2024,12,28,
2024,12,29,
2024,12,30,
2024,12,31,
